operator_name,parent_company,countries_present,facility_count_wave_A,total_mw_known,mw_coverage_pct,has_colo_wholesale,ai_or_gpu_mentions,max_relevance,partnership_openness_guess,priority_for_outreach,source_urls
IPXON Networks,Unknown,"Brazil, Colombia, Mexico",6,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/fortaleza/ipxon-fortaleza/ | https://www.datacentermap.com/brazil/rio-de-janeiro/ipxon-rio-de-janeiro/ | https://www.datacentermap.com/brazil/sao-paulo/ipxon-sao-paulo/ | https://www.datacentermap.com/colombia/bogota/ipxon/ | https://www.datacentermap.com/mexico/guadalajara/ipxon-guadalajara/ | https://www.datacentermap.com/mexico/mexico-city/ipxon-mexico-df/ | https://www.datacenters.com/providers/ipxon-networks
HostDime Global Corp,Unknown,"Brazil, Colombia, Mexico",5,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/joao-pessoa/hostdime-brazil/ | https://www.datacentermap.com/brazil/sao-paulo/hostdime-so-paulo/ | https://www.datacentermap.com/colombia/bogota/hostdime-colombia/ | https://www.datacentermap.com/mexico/guadalajara/hostdime-mexico-2/ | https://www.datacentermap.com/mexico/guadalajara/mexicogdl-dc2/ | https://www.datacenters.com/hostdime-orlando-coming-2024
MTP,Unknown,Mexico,5,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/mexico/leon/mtp-edge-len/ | https://www.datacentermap.com/mexico/merida/mtp-edge-merida/ | https://www.datacentermap.com/mexico/mexico-city/mtp-santa-fe/ | https://www.datacentermap.com/mexico/san-luis-potosi/mtp-edge-san-luis-potosi/ | https://www.datacentermap.com/mexico/tijuana/mtp-edge-tijuana/ | https://www.datacenters.com/servpac-mtp
Megatelecom,Unknown,Brazil,5,0,0%,True,,5,High,Yes,https://www.datacentermap.com/brazil/aracaju/pix-g8-aracaju/ | https://www.datacentermap.com/brazil/brasilia/pix-g8-brasilia/ | https://www.datacentermap.com/brazil/goiania/pix-g8-goiania/ | https://www.datacentermap.com/brazil/manaus/pix-g8-manaus/ | https://www.datacentermap.com/brazil/sao-paulo/pix-g8-sao-paulo/
TELMEX Triara,Unknown,Mexico,5,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/mexico/guadalajara/triara-guadalajara/ | https://www.datacentermap.com/mexico/merida/triara-cancun/ | https://www.datacentermap.com/mexico/mexico-city/triara-mexico-city/ | https://www.datacentermap.com/mexico/monterrey/triara-monterrey/ | https://www.datacentermap.com/mexico/queretaro/triara-queretaro/ | https://www.datacenters.com/triara-mty-queretaro
IFXNetworks,Unknown,Colombia,4,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/colombia/bogota/ifx-jupiter1/ | https://www.datacentermap.com/colombia/bogota/ifx-saturno/ | https://www.datacentermap.com/colombia/bogota/ifx-wbp-i/ | https://www.datacentermap.com/colombia/bogota/ifx-wbp-ii/ | https://www.datacenters.com/providers/ifx-networks/data-center-locations
Vivo,Unknown,Brazil,4,0,0%,True,"artificial intelligence, high-performance computing",5,High,Yes,https://www.datacentermap.com/brazil/curitiba/gvt-curitiba/ | https://www.datacentermap.com/brazil/rio-de-janeiro/gvt-rio-de-janeiro/ | https://www.datacentermap.com/brazil/sao-paulo/gvt-sao-paulo/ | https://www.datacentermap.com/brazil/sao-paulo/vivo-tambore-1-data-center/ | https://www.datacenters.com/providers/vivo-empresas/locations/brazil?view=Map
NextStream,Unknown,"Brazil, Mexico",3,23.0,33%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/brazil/curitiba/nextstream-curitiba/ | https://www.datacentermap.com/brazil/sao-paulo/nabiax-tambore/ | https://www.datacentermap.com/mexico/toluca/nabiax-ixtlahuaca/ | https://www.datacenters.com/providers/nextstream
Sencinet,Unknown,"Brazil, Colombia",3,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/campinas/sencinet-brazil/ | https://www.datacentermap.com/colombia/bogota/sencinet-naos/ | https://www.datacentermap.com/colombia/bogota/sencinet-nimbus/ | https://www.datacenters.com/providers/sencinet
Ultranet Telecom,Unknown,Brazil,3,0,0%,True,,5,High,Yes,https://www.datacentermap.com/brazil/fortaleza/dc-ultranet-telecom/ | https://www.datacentermap.com/brazil/rio-de-janeiro/dc-ultranet-telecom1/ | https://www.datacentermap.com/brazil/sao-paulo/ultranet-telecom/
Ada Infrastructure,Unknown,Brazil,2,0,0%,True,"AI, artificial intelligence",5,High,Yes,https://www.datacentermap.com/brazil/rio-de-janeiro/ada-rio-de-janeiro/ | https://www.datacentermap.com/brazil/sao-paulo/ada-sao-paulo/ | https://www.datacenters.com/providers/ada-infrastructure/data-center-locations
Claro,Unknown,"Brazil, Colombia",2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/sao-paulo/claro-lapa/ | https://www.datacentermap.com/colombia/bogota/claro-data-center-triara/ | https://www.datacenters.com/providers/claro/data-center-locations
InterNexa,"ISA, a Colombian multinational with 56 ye",Colombia,2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/colombia/bogota/internexa-bogota/ | https://www.datacentermap.com/colombia/medellin/internexa-medellin/ | https://www.datacenters.com/providers/internexa
Kyndryl,Unknown,"Brazil, Mexico",2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/sao-paulo/kyndryl-dc-hortolandia/ | https://www.datacentermap.com/mexico/guadalajara/kyndryl-dc-guadalajara/ | https://www.datacenters.com/providers/kyndryl/data-center-locations
S3 Simple Smart Speedy,Unknown,Colombia,2,0,0%,True,,5,High,Yes,https://www.datacentermap.com/colombia/bogota/s3-heroes/ | https://www.datacentermap.com/colombia/bogota/s3-san-martin/
Telium Networks,Unknown,Brazil,2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/brazil/porto-alegre/telium-data-center--poa/ | https://www.datacentermap.com/brazil/sao-paulo/telium-data-center--spo/ | https://www.datacenters.com/telium-networks-spo
Tigo,"Millicom International Cellular, S.A. and",Colombia,2,0,0%,True,artificial intelligence,5,High,Yes,https://www.datacentermap.com/colombia/bogota/tigo-dc-la-castellana/ | https://www.datacentermap.com/colombia/bogota/tigo-une-titanium/ | https://www.datacenters.com/providers/tigo-business/data-center-locations
Data Horizon Americas (DHAmericas),DHAmericas,Colombia,1,0,0%,True,,5,High,Yes,https://www.datacentermap.com/colombia/bogota/dhamericas-bog-01/
RiverHook Village 18,Unknown,Brazil,2,0,0%,True,"AI, GPU, liquid cooling",4,High,Yes,https://www.datacentermap.com/brazil/sao-paulo/riverhook-village-18-dc1/ | https://www.datacentermap.com/brazil/sao-paulo/riverhook-village-18-dc2/
Angola Cables,Unknown,Brazil,1,0,0%,True,artificial intelligence,4,High,Yes,https://www.datacentermap.com/brazil/fortaleza/angonap-fortaleza/ | https://www.datacenters.com/providers/angola-cables
Bleeding Edge,Unknown,Mexico,1,0,0%,True,"AI, NVIDIA, artificial intelligence, high-performance computing, machine learning",4,High,Yes,https://www.datacentermap.com/mexico/queretaro/bleeding-edge-qro1/ | https://www.datacenters.com/news/examining-the-state-of-edge-computing
Ilkari,Unknown,Colombia,1,0,0%,True,"AI, artificial intelligence",4,High,Yes,https://www.datacentermap.com/colombia/bogota/faoba-dc/ | https://www.datacenters.com/providers/ilkari/data-center-locations
Microsoft,Unknown,Brazil,3,0,0%,False,"AI, artificial intelligence, gpu, inference, nvidia, training",3,Unknown,No,https://www.datacentermap.com/brazil/sao-paulo/microsoft-hortolandia/ | https://www.datacentermap.com/brazil/sao-paulo/microsoft-sao-paulo/ | https://www.datacentermap.com/brazil/sao-paulo/microsoft-taquara-branca/ | https://www.datacenters.com/news/microsoft-s-80b-investment-in-ai-data-centers-the-digital-backbone-for-a-multimodal-world
Algar Tech,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/uberlandia/algar-tech-uberlandia/ | https://www.datacentermap.com/brazil/uberlandia/algar-tecnologia/
Armazém Cloud,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/blumenau/armazem-dc-brusque/ | https://www.datacentermap.com/brazil/joinville/armazem-dc-joinville/
Constel Tecnologia,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-minas/ | https://www.datacentermap.com/brazil/cascavel/constel-tecnologia-para/
Maila Networks,Unknown,Brazil,2,0,0%,True,AI,3,High,No,https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc1/ | https://www.datacentermap.com/brazil/porto-alegre/maila-networks-dc2/
NH Solutions,Unknown,Mexico,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/mexico/monterrey/nh-solutions-edc1/ | https://www.datacentermap.com/mexico/monterrey/nh-solutions-edc2/
NUV Datacenter,Unknown,Brazil,2,0,0%,True,,3,Med,No,https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv1/ | https://www.datacentermap.com/brazil/vitoria/nuv-datacenter-nuv2/
